"","X","ID","Sample.No","locus","index","well","site","C","T","total","C_Ratio","age","Sex","Population","ind"
"1469",1950,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_29",7,24249,24256,0.000288588390501319,40,"F","NR","11E"
"1470",1958,"I11","kw94-31","BDNF","5E","BDNF_5E_S37_sort.bam","BDNF_26",2040,13664,15704,0.129903209373408,40,"F","NR","5E"
"1472",1960,"I11","kw94-31","CRF","5E","CRF_5E_S37_sort.bam","CRF_73",63,311,374,0.168449197860963,40,"F","NR","5E"
"1473",1961,"I11","kw94-31","CRF","5E","CRF_5E_S37_sort.bam","CRF_92",118,255,373,0.316353887399464,40,"F","NR","5E"
"1475",1963,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_66",61,944,1005,0.0606965174129353,40,"F","NR","5E"
"1479",1967,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_154",53,816,869,0.0609896432681243,40,"F","NR","5E"
"1481",1969,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_160",9,861,870,0.0103448275862069,40,"F","NR","5E"
"1482",1970,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_45",24,931,955,0.025130890052356,40,"F","NR","5E"
"1484",1972,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_157",18,850,868,0.0207373271889401,40,"F","NR","5E"
"1490",1978,"I11","kw94-31","CRF","5E","CRF_5E_S37_sort.bam","CRF_33",198,172,370,0.535135135135135,40,"F","NR","5E"
"1491",1979,"I11","kw94-31","CRF","5E","CRF_5E_S37_sort.bam","CRF_49",85,289,374,0.227272727272727,40,"F","NR","5E"
"1492",1980,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_36",6,24285,24291,0.000247005063603804,40,"F","NR","11E"
"1493",1981,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_49",3,24386,24389,0.000123006273319939,40,"F","NR","11E"
"1494",1982,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_51",10,24386,24396,0.000409903262829972,40,"F","NR","11E"
"1495",1983,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_165",8,862,870,0.00919540229885057,40,"F","NR","5E"
"1498",1989,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_90",21,975,996,0.0210843373493976,40,"F","NR","5E"
"1499",1990,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_92",77,918,995,0.0773869346733668,40,"F","NR","5E"
"1500",1991,"I11","kw94-31","NP","5E","NP_5E_S37_merge.bam","NP_132",67,901,968,0.0692148760330579,40,"F","NR","5E"
"1505",1996,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_54",4,24408,24412,0.000163853842372604,40,"F","NR","11E"
"1506",1997,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_65",8,24426,24434,0.000327412621756569,40,"F","NR","11E"
"1511",2002,"I11","kw94-31","ACTB","11E","ACTB_11E_S85_sort.bam","ACTB_71",6,24418,24424,0.000245660006550933,40,"F","NR","11E"
"1512",2003,"I11","kw94-31","BDNF","5E","BDNF_5E_S37_sort.bam","BDNF_48",238,15942,16180,0.0147095179233622,40,"F","NR","5E"
"1519",2010,"I11","kw94-31","BDNF","5E","BDNF_5E_S37_sort.bam","BDNF_57",319,15843,16162,0.0197376562306645,40,"F","NR","5E"
"1525",2016,"I11","kw94-31","CRF","5E","CRF_5E_S37_sort.bam","CRF_95",119,255,374,0.318181818181818,40,"F","NR","5E"
"1536",2028,"I11","kw94-31","BDNF","5E","BDNF_5E_S37_sort.bam","BDNF_37",616,15566,16182,0.0380669880113707,40,"F","NR","5E"
"1537",2029,"I11","kw94-31","BDNF","5E","BDNF_5E_S37_sort.bam","BDNF_45",117,15901,16018,0.00730428268198277,40,"F","NR","5E"
"1539",2031,"I11","kw94-31","CRF","5E","CRF_5E_S37_sort.bam","CRF_27",61,309,370,0.164864864864865,40,"F","NR","5E"
"1540",2032,"I11","kw94-31","BDNF","5E","BDNF_5E_S37_sort.bam","BDNF_81",551,15815,16366,0.0336673591592326,40,"F","NR","5E"
"1541",2033,"I11","kw94-31","CRF","5E","CRF_5E_S37_sort.bam","CRF_113",160,210,370,0.432432432432432,40,"F","NR","5E"
"1546",2040,"I11","kw94-31","BDNF","5E","BDNF_5E_S37_sort.bam","BDNF_51",1167,15014,16181,0.0721216241270626,40,"F","NR","5E"
"1550",2044,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_148",30,716,746,0.0402144772117962,24,"F","NR","5F"
"1551",2045,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_49",3,14569,14572,0.000205874279440022,24,"F","NR","11F"
"1555",2049,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_165",75,731,806,0.0930521091811414,24,"F","NR","5F"
"1557",2052,"I12","kw94-28","CRF","5F","CRF_5F_S38_sort.bam","CRF_27",34,255,289,0.117647058823529,24,"F","NR","5F"
"1559",2058,"I12","kw94-28","CRF","5F","CRF_5F_S38_sort.bam","CRF_113",146,145,291,0.501718213058419,24,"F","NR","5F"
"1561",2060,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_92",0,941,941,0,24,"F","NR","5F"
"1562",2061,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_90",0,943,943,0,24,"F","NR","5F"
"1563",2062,"I12","kw94-28","BDNF","5F","BDNF_5F_S38_sort.bam","BDNF_45",89,15811,15900,0.00559748427672956,24,"F","NR","5F"
"1564",2063,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_66",1,947,948,0.00105485232067511,24,"F","NR","5F"
"1565",2064,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_157",0,809,809,0,24,"F","NR","5F"
"1566",2065,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_154",0,812,812,0,24,"F","NR","5F"
"1568",2067,"I12","kw94-28","BDNF","5F","BDNF_5F_S38_sort.bam","BDNF_48",1064,15208,16272,0.0653883972468043,24,"F","NR","5F"
"1570",2069,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_45",0,949,949,0,24,"F","NR","5F"
"1572",2071,"I12","kw94-28","CRF","5F","CRF_5F_S38_sort.bam","CRF_33",49,240,289,0.169550173010381,24,"F","NR","5F"
"1573",2072,"I12","kw94-28","CRF","5F","CRF_5F_S38_sort.bam","CRF_49",74,216,290,0.255172413793103,24,"F","NR","5F"
"1575",2074,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_51",2,14571,14573,0.000137240101557675,24,"F","NR","11F"
"1576",2075,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_54",3,14579,14582,0.000205733095597312,24,"F","NR","11F"
"1577",2076,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_160",0,812,812,0,24,"F","NR","5F"
"1578",2077,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_151",2,807,809,0.00247218788627936,24,"F","NR","5F"
"1581",2080,"I12","kw94-28","BDNF","5F","BDNF_5F_S38_sort.bam","BDNF_37",2374,13898,16272,0.145894788593904,24,"F","NR","5F"
"1582",2082,"I12","kw94-28","CRF","5F","CRF_5F_S38_sort.bam","CRF_73",41,250,291,0.140893470790378,24,"F","NR","5F"
"1583",2083,"I12","kw94-28","CRF","5F","CRF_5F_S38_sort.bam","CRF_92",17,274,291,0.0584192439862543,24,"F","NR","5F"
"1584",2084,"I12","kw94-28","NP","5F","NP_5F_S38_merge.bam","NP_132",0,918,918,0,24,"F","NR","5F"
"1600",2102,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_71",2,14580,14582,0.000137155397064874,24,"F","NR","11F"
"1601",2103,"I12","kw94-28","BDNF","5F","BDNF_5F_S38_sort.bam","BDNF_81",687,15505,16192,0.0424283596837945,24,"F","NR","5F"
"1605",2112,"I12","kw94-28","CRF","5F","CRF_5F_S38_sort.bam","CRF_95",53,238,291,0.18213058419244,24,"F","NR","5F"
"1606",2113,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_36",5,14517,14522,0.000344305192122297,24,"F","NR","11F"
"1613",2120,"I12","kw94-28","BDNF","5F","BDNF_5F_S38_sort.bam","BDNF_26",2296,13417,15713,0.146121046267422,24,"F","NR","5F"
"1619",2128,"I12","kw94-28","BDNF","5F","BDNF_5F_S38_sort.bam","BDNF_51",1287,14984,16271,0.0790977813287444,24,"F","NR","5F"
"1620",2129,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_65",0,14590,14590,0,24,"F","NR","11F"
"1623",2133,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_29",3,14510,14513,0.000206711224419486,24,"F","NR","11F"
"1624",2134,"I12","kw94-28","ACTB","11F","ACTB_11F_S86_sort.bam","ACTB_74",2,14589,14591,0.000137070797066685,24,"F","NR","11F"
"1625",2135,"I12","kw94-28","BDNF","5F","BDNF_5F_S38_sort.bam","BDNF_57",534,15679,16213,0.0329365324122618,24,"F","NR","5F"
"1631",2143,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_54",2,17348,17350,0.000115273775216138,30,"F","NR","11G"
"1632",2144,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_51",4,17330,17334,0.000230760355370947,30,"F","NR","11G"
"1633",2145,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_49",4,17329,17333,0.000230773668724399,30,"F","NR","11G"
"1636",2148,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_36",4,17294,17298,0.000231240605850387,30,"F","NR","11G"
"1644",2158,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_29",854,16433,17287,0.0494012842020015,30,"F","NR","11G"
"1650",2165,"I16","kw98-22","BDNF","5G","BDNF_5G_S39_sort.bam","BDNF_37",563,13460,14023,0.0401483277472723,30,"F","NR","5G"
"1657",2172,"I16","kw98-22","BDNF","5G","BDNF_5G_S39_sort.bam","BDNF_48",183,13842,14025,0.013048128342246,30,"F","NR","5G"
"1658",2173,"I16","kw98-22","BDNF","5G","BDNF_5G_S39_sort.bam","BDNF_26",2006,11407,13413,0.149556400506971,30,"F","NR","5G"
"1659",2174,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_45",0,761,761,0,30,"F","NR","5G"
"1660",2175,"I16","kw98-22","BDNF","5G","BDNF_5G_S39_sort.bam","BDNF_45",120,13752,13872,0.00865051903114187,30,"F","NR","5G"
"1661",2176,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_132",5,725,730,0.00684931506849315,30,"F","NR","5G"
"1667",2185,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_66",1,760,761,0.00131406044678055,30,"F","NR","5G"
"1668",2186,"I16","kw98-22","BDNF","5G","BDNF_5G_S39_sort.bam","BDNF_51",841,13185,14026,0.0599600741480108,30,"F","NR","5G"
"1679",2202,"I16","kw98-22","BDNF","5G","BDNF_5G_S39_sort.bam","BDNF_57",6,14251,14257,0.000420845900259522,30,"F","NR","5G"
"1680",2203,"I16","kw98-22","BDNF","5G","BDNF_5G_S39_sort.bam","BDNF_81",184,14007,14191,0.0129659643435981,30,"F","NR","5G"
"1687",2211,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_165",0,656,656,0,30,"F","NR","5G"
"1690",2215,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_92",6,735,741,0.00809716599190283,30,"F","NR","5G"
"1691",2216,"I16","kw98-22","CRF","5G","CRF_5G_S39_sort.bam","CRF_27",38,246,284,0.133802816901408,30,"F","NR","5G"
"1692",2217,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_148",0,597,597,0,30,"F","NR","5G"
"1693",2218,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_151",12,642,654,0.018348623853211,30,"F","NR","5G"
"1694",2223,"I16","kw98-22","CRF","5G","CRF_5G_S39_sort.bam","CRF_113",120,164,284,0.422535211267606,30,"F","NR","5G"
"1695",2224,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_160",1,654,655,0.00152671755725191,30,"F","NR","5G"
"1697",2226,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_71",2,17358,17360,0.000115207373271889,30,"F","NR","11G"
"1700",2229,"I16","kw98-22","CRF","5G","CRF_5G_S39_sort.bam","CRF_73",8,280,288,0.0277777777777778,30,"F","NR","5G"
"1701",2230,"I16","kw98-22","CRF","5G","CRF_5G_S39_sort.bam","CRF_92",33,255,288,0.114583333333333,30,"F","NR","5G"
"1702",2231,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_74",34,17339,17373,0.00195705980544523,30,"F","NR","11G"
"1703",2233,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_90",4,738,742,0.00539083557951483,30,"F","NR","5G"
"1705",2235,"I16","kw98-22","CRF","5G","CRF_5G_S39_sort.bam","CRF_95",8,280,288,0.0277777777777778,30,"F","NR","5G"
"1706",2236,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_157",1,655,656,0.00152439024390244,30,"F","NR","5G"
"1707",2237,"I16","kw98-22","CRF","5G","CRF_5G_S39_sort.bam","CRF_49",53,235,288,0.184027777777778,30,"F","NR","5G"
"1711",2241,"I16","kw98-22","CRF","5G","CRF_5G_S39_sort.bam","CRF_33",51,235,286,0.178321678321678,30,"F","NR","5G"
"1713",2243,"I16","kw98-22","NP","5G","NP_5G_S39_merge.bam","NP_154",8,649,657,0.0121765601217656,30,"F","NR","5G"
"1714",2244,"I16","kw98-22","ACTB","11G","ACTB_11G_S87_sort.bam","ACTB_65",1518,15853,17371,0.0873870243509297,30,"F","NR","11G"
"1721",2251,"I21","kw02-13","BDNF","5H","BDNF_5H_S40_sort.bam","BDNF_37",350,16097,16447,0.0212804766826777,23,"F","NR","5H"
"1722",2252,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_157",0,727,727,0,23,"F","NR","5H"
"1723",2254,"I21","kw02-13","BDNF","5H","BDNF_5H_S40_sort.bam","BDNF_26",800,15403,16203,0.0493735727951614,23,"F","NR","5H"
"1726",2258,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_160",3,721,724,0.00414364640883978,23,"F","NR","5H"
"1727",2259,"I21","kw02-13","BDNF","5H","BDNF_5H_S40_sort.bam","BDNF_81",579,15967,16546,0.0349933518675209,23,"F","NR","5H"
"1728",2260,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_154",13,713,726,0.0179063360881543,23,"F","NR","5H"
"1736",2268,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_90",38,797,835,0.0455089820359281,23,"F","NR","5H"
"1739",2271,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_132",6,804,810,0.00740740740740741,23,"F","NR","5H"
"1741",2273,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_151",29,694,723,0.0401106500691563,23,"F","NR","5H"
"1744",2276,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_36",4,23173,23177,0.000172584890192864,23,"F","NR","11H"
"1746",2278,"I21","kw02-13","CRF","5H","CRF_5H_S40_sort.bam","CRF_33",0,202,202,0,23,"F","NR","5H"
"1747",2279,"I21","kw02-13","CRF","5H","CRF_5H_S40_sort.bam","CRF_49",0,201,201,0,23,"F","NR","5H"
"1749",2282,"I21","kw02-13","BDNF","5H","BDNF_5H_S40_sort.bam","BDNF_45",184,16056,16240,0.0113300492610837,23,"F","NR","5H"
"1750",2283,"I21","kw02-13","BDNF","5H","BDNF_5H_S40_sort.bam","BDNF_51",1231,15213,16444,0.0748601313549015,23,"F","NR","5H"
"1751",2284,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_148",25,636,661,0.037821482602118,23,"F","NR","5H"
"1755",2290,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_45",15,832,847,0.0177095631641086,23,"F","NR","5H"
"1758",2295,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_71",2,23312,23314,8.57853650167281e-05,23,"F","NR","11H"
"1759",2296,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_74",3,23329,23332,0.000128578775930053,23,"F","NR","11H"
"1760",2297,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_54",1,23277,23278,4.29590170976888e-05,23,"F","NR","11H"
"1762",2299,"I21","kw02-13","BDNF","5H","BDNF_5H_S40_sort.bam","BDNF_48",155,16291,16446,0.00942478414204062,23,"F","NR","5H"
"1764",2302,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_29",5,23165,23170,0.000215796288303841,23,"F","NR","11H"
"1766",2304,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_49",2,23255,23257,8.59956142236746e-05,23,"F","NR","11H"
"1767",2305,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_51",9,23247,23256,0.000386996904024768,23,"F","NR","11H"
"1768",2307,"I21","kw02-13","ACTB","11H","ACTB_11H_S88_sort.bam","ACTB_65",7,23322,23329,0.000300055724634575,23,"F","NR","11H"
"1769",2308,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_66",32,816,848,0.0377358490566038,23,"F","NR","5H"
"1772",2312,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_92",14,821,835,0.0167664670658683,23,"F","NR","5H"
"1777",2317,"I21","kw02-13","CRF","5H","CRF_5H_S40_sort.bam","CRF_27",0,202,202,0,23,"F","NR","5H"
"1780",2320,"I21","kw02-13","CRF","5H","CRF_5H_S40_sort.bam","CRF_73",0,198,198,0,23,"F","NR","5H"
"1781",2321,"I21","kw02-13","CRF","5H","CRF_5H_S40_sort.bam","CRF_92",0,202,202,0,23,"F","NR","5H"
"1782",2322,"I21","kw02-13","CRF","5H","CRF_5H_S40_sort.bam","CRF_95",0,202,202,0,23,"F","NR","5H"
"1783",2323,"I21","kw02-13","CRF","5H","CRF_5H_S40_sort.bam","CRF_113",0,198,198,0,23,"F","NR","5H"
"1796",2340,"I21","kw02-13","NP","5H","NP_5H_S40_merge.bam","NP_165",0,726,726,0,23,"F","NR","5H"
"1797",2345,"I21","kw02-13","BDNF","5H","BDNF_5H_S40_sort.bam","BDNF_57",7,16568,16575,0.000422322775263952,23,"F","NR","5H"
"1801",2349,"I27","I27","CRF","6B","CRF_6B_S42_sort.bam","CRF_113",236,106,342,0.690058479532164,43,"F","NR","6B"
"1804",2354,"I27","I27","ACTB","12B","ACTB_12B_S90_sort.bam","ACTB_51",6,17834,17840,0.000336322869955157,43,"F","NR","12B"
"1805",2355,"I27","I27","ACTB","12B","ACTB_12B_S90_sort.bam","ACTB_54",531,17315,17846,0.0297545668497142,43,"F","NR","12B"
"1813",2363,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_92",11,1538,1549,0.00710135571336346,43,"F","NR","6B"
"1815",2365,"I27","I27","ACTB","12B","ACTB_12B_S90_sort.bam","ACTB_36",10,17571,17581,0.000568795859166145,43,"F","NR","12B"
"1816",2366,"I27","I27","ACTB","12B","ACTB_12B_S90_sort.bam","ACTB_49",297,17539,17836,0.0166517156313075,43,"F","NR","12B"
"1817",2369,"I27","kw94-13","BDNF","6A","BDNF_6A_S41_sort.bam","BDNF_57",8,17135,17143,0.000466662777810185,20,"F","NR","6A"
"1818",2372,"I27","kw94-13","ACTB","12A","ACTB_12A_S89_sort.bam","ACTB_65",1042,31218,32260,0.0323000619962802,20,"F","NR","12A"
"1819",2374,"I27","kw94-13","ACTB","12A","ACTB_12A_S89_sort.bam","ACTB_74",4,32257,32261,0.000123988717026751,20,"F","NR","12A"
"1821",2376,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_92",2,1520,1522,0.00131406044678055,20,"F","NR","6A"
"1822",2378,"I27","kw94-13","CRF","6A","CRF_6A_S41_sort.bam","CRF_95",24,194,218,0.110091743119266,20,"F","NR","6A"
"1823",2380,"I27","kw94-13","BDNF","6A","BDNF_6A_S41_sort.bam","BDNF_48",608,16549,17157,0.035437430786268,20,"F","NR","6A"
"1824",2381,"I27","kw94-13","BDNF","6A","BDNF_6A_S41_sort.bam","BDNF_51",1121,16032,17153,0.0653529994753104,20,"F","NR","6A"
"1825",2382,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_160",49,1269,1318,0.0371775417298938,20,"F","NR","6A"
"1826",2383,"I27","kw94-13","BDNF","6A","BDNF_6A_S41_sort.bam","BDNF_81",55,17017,17072,0.00322164948453608,20,"F","NR","6A"
"1830",2387,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_66",0,1551,1551,0,20,"F","NR","6A"
"1831",2388,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_151",39,1283,1322,0.029500756429652,20,"F","NR","6A"
"1833",2390,"I27","kw94-13","BDNF","6A","BDNF_6A_S41_sort.bam","BDNF_26",486,16534,17020,0.0285546415981199,20,"F","NR","6A"
"1834",2391,"I27","kw94-13","BDNF","6A","BDNF_6A_S41_sort.bam","BDNF_37",1218,15936,17154,0.0710038474991256,20,"F","NR","6A"
"1835",2392,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_165",0,1314,1314,0,20,"F","NR","6A"
"1836",2393,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_154",49,1270,1319,0.0371493555724033,20,"F","NR","6A"
"1837",2394,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_157",1,1319,1320,0.000757575757575758,20,"F","NR","6A"
"1839",2396,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_148",50,1153,1203,0.0415627597672485,20,"F","NR","6A"
"1841",2399,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_132",1,1486,1487,0.000672494956287828,20,"F","NR","6A"
"1844",2403,"I27","kw94-13","CRF","6A","CRF_6A_S41_sort.bam","CRF_92",21,197,218,0.0963302752293578,20,"F","NR","6A"
"1852",2411,"I27","I27","ACTB","12B","ACTB_12B_S90_sort.bam","ACTB_29",6,17452,17458,0.000343681979608203,43,"F","NR","12B"
"1853",2413,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_90",20,1529,1549,0.012911555842479,43,"F","NR","6B"
"1855",2417,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_151",21,1332,1353,0.0155210643015521,43,"F","NR","6B"
"1856",2418,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_154",37,1322,1359,0.0272259013980868,43,"F","NR","6B"
"1857",2419,"I27","I27","BDNF","6B","BDNF_6B_S42_sort.bam","BDNF_48",394,16990,17384,0.0226645190980212,43,"F","NR","6B"
"1858",2420,"I27","I27","BDNF","6B","BDNF_6B_S42_sort.bam","BDNF_26",2041,14867,16908,0.120712088951975,43,"F","NR","6B"
"1860",2423,"I27","I27","BDNF","6B","BDNF_6B_S42_sort.bam","BDNF_37",450,16938,17388,0.025879917184265,43,"F","NR","6B"
"1861",2424,"I27","I27","BDNF","6B","BDNF_6B_S42_sort.bam","BDNF_45",381,16756,17137,0.0222325961370135,43,"F","NR","6B"
"1863",2426,"I27","kw94-13","CRF","6A","CRF_6A_S41_sort.bam","CRF_49",37,180,217,0.170506912442396,20,"F","NR","6A"
"1873",2437,"I27","I27","BDNF","6B","BDNF_6B_S42_sort.bam","BDNF_51",1390,15997,17387,0.0799447863346178,43,"F","NR","6B"
"1874",2438,"I27","I27","BDNF","6B","BDNF_6B_S42_sort.bam","BDNF_57",6,17364,17370,0.000345423143350604,43,"F","NR","6B"
"1875",2439,"I27","I27","BDNF","6B","BDNF_6B_S42_sort.bam","BDNF_81",223,17081,17304,0.0128871937124364,43,"F","NR","6B"
"1879",2443,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_66",2,1562,1564,0.00127877237851662,43,"F","NR","6B"
"1881",2446,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_132",31,1472,1503,0.0206254158349967,43,"F","NR","6B"
"1882",2448,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_148",15,1208,1223,0.0122649223221586,43,"F","NR","6B"
"1883",2450,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_157",30,1329,1359,0.022075055187638,43,"F","NR","6B"
"1887",2457,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_160",29,1329,1358,0.0213549337260677,43,"F","NR","6B"
"1900",2472,"I27","kw94-13","ACTB","12A","ACTB_12A_S89_sort.bam","ACTB_36",7,30551,30558,0.000229072583284246,20,"F","NR","12A"
"1901",2473,"I27","kw94-13","BDNF","6A","BDNF_6A_S41_sort.bam","BDNF_45",10,16960,16970,0.000589275191514437,20,"F","NR","6A"
"1907",2480,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_45",0,1551,1551,0,20,"F","NR","6A"
"1910",2483,"I27","kw94-13","NP","6A","NP_6A_S41_merge.bam","NP_90",29,1495,1524,0.0190288713910761,20,"F","NR","6A"
"1915",2490,"I27","I27","NP","6B","NP_6B_S42_merge.bam","NP_165",31,1328,1359,0.0228108903605592,43,"F","NR","6B"
"1916",2491,"I27","kw94-13","ACTB","12A","ACTB_12A_S89_sort.bam","ACTB_51",56,32129,32185,0.00173994096628864,20,"F","NR","12A"
"1917",2492,"I27","kw94-13","ACTB","12A","ACTB_12A_S89_sort.bam","ACTB_54",6,32207,32213,0.000186260205507093,20,"F","NR","12A"
"1920",2495,"I27","kw94-13","CRF","6A","CRF_6A_S41_sort.bam","CRF_27",16,198,214,0.0747663551401869,20,"F","NR","6A"
"1921",2497,"I27","kw94-13","ACTB","12A","ACTB_12A_S89_sort.bam","ACTB_71",7,32224,32231,0.000217182215879123,20,"F","NR","12A"
"1922",2498,"I27","kw94-13","CRF","6A","CRF_6A_S41_sort.bam","CRF_73",39,179,218,0.178899082568807,20,"F","NR","6A"
"1924",2501,"I27","kw94-13","ACTB","12A","ACTB_12A_S89_sort.bam","ACTB_29",3,30516,30519,9.82994200334218e-05,20,"F","NR","12A"
"1925",2503,"I27","kw94-13","CRF","6A","CRF_6A_S41_sort.bam","CRF_113",176,41,217,0.811059907834101,20,"F","NR","6A"
"1928",2506,"I27","I27","ACTB","12B","ACTB_12B_S90_sort.bam","ACTB_65",5,17860,17865,0.000279876854184159,43,"F","NR","12B"
"1929",2507,"I27","I27","ACTB","12B","ACTB_12B_S90_sort.bam","ACTB_71",9,17850,17859,0.000503947589450697,43,"F","NR","12B"
"1933",2514,"I27","I27","CRF","6B","CRF_6B_S42_sort.bam","CRF_27",15,326,341,0.0439882697947214,43,"F","NR","6B"
"1935",2516,"I27","I27","CRF","6B","CRF_6B_S42_sort.bam","CRF_33",37,304,341,0.108504398826979,43,"F","NR","6B"
"1936",2517,"I27","I27","CRF","6B","CRF_6B_S42_sort.bam","CRF_49",21,321,342,0.0614035087719298,43,"F","NR","6B"
"1937",2518,"I27","I27","CRF","6B","CRF_6B_S42_sort.bam","CRF_73",20,322,342,0.0584795321637427,43,"F","NR","6B"
"1938",2519,"I27","I27","CRF","6B","CRF_6B_S42_sort.bam","CRF_92",11,332,343,0.032069970845481,43,"F","NR","6B"
